name					martillob_2
health					1
nolife					1
type					npc
hostile					player npc obstacle shot
candamage				player npc obstacle shot
speed					0
nomove					1
noquake					1
falldie					1
subtype					flydie
#shadow					0
gfxshadow 1 3
remove					0
flash 					flash
bflash 					guard
dust					dust01
lifespan        		2
subject_to_wall 0

palette data/chars/players/COM/baby/martillob/martillob01.gif #1





anim	death
	loop	0
	offset	238 177
	bbox	0 0 0 0
	delay	5
	move	1000
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
anim	fall
	loop	0
	delay	2
	offset	30 30
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
		
anim	idle
	jugglecost 0
	fastattack	1
	hitflash	FqBlood1
	hitfx	data/sounds/martillob.wav
	loop	1
	offset	238 177
	bbox	0 0 0 0
	move	7
	delay 2
	attack2	240 118 128 57 30 1 1 0 35 20
	dropv 3.25 0.75
	frame	data/chars/players/COM/baby/martillob/martillob01.gif
	frame	data/chars/players/COM/baby/martillob/martillob01.gif
	frame	data/chars/players/COM/baby/martillob/martillob02.gif
	frame	data/chars/players/COM/baby/martillob/martillob02.gif
	frame	data/chars/players/COM/baby/martillob/martillob03.gif
	frame	data/chars/players/COM/baby/martillob/martillob03.gif
	frame	data/chars/players/COM/baby/martillob/martillob04.gif
	frame	data/chars/players/COM/baby/martillob/martillob04.gif


		

		
