name					hassou_2
health					1
nolife					1
type					npc
hostile					npc obstacle shot
candamage				npc obstacle shot
speed					0
nomove					1
noquake					1
falldie					1
subtype					flydie
#shadow					0
gfxshadow 1 3
remove					0
flash 					flash
bflash 					guard
dust					dust
subject_to_wall 0

palette data/chars/players/guy/hassou/hassou.gif #1

anim	death
	loop	0
	delay	2
	offset	30 30
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
anim	fall
	loop	0
	delay	2
	offset	30 30
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
anim	idle
	hitflash	flash
	hitfx	data/sounds/beat3.wav
	fastattack	1
	loop	0
	offset	238 177
	bbox	0 0 0 0
	delay	2
	frame	data/chars/players/guy/hassou/01.gif
	frame	data/chars/players/guy/hassou/02.gif
	frame	data/chars/players/guy/hassou/03.gif
	frame	data/chars/players/guy/hassou/04.gif
	delay	5
	move	1000
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/empty.gif
		
#|edited by openBor Stats v 0.41
		
