name	Jet
health	200
speed	11
type	enemy
shadow	3
icon	data/chars/jet/icon.gif
diesound data/sounds/jetdie.wav


remap	data/chars/jet/idle1.gif data/chars/jet/alt1.gif
remap	data/chars/jet/idle1.gif data/chars/jet/alt2.gif



anim idle
        loop	1
        offset	55 100
        bbox	29 10 37 84
        delay	20
        frame	data/chars/jet/idle1.gif
        bbox	29 4 37 84
        frame	data/chars/jet/idle2.gif
	 
anim walk
 	loop	1
        offset	55 100
 	bbox	41 10 32 90
 	delay	20
       	frame	data/chars/jet/walk1.gif
        bbox	41 6 32 90
       	frame	data/chars/jet/walk2.gif
  

anim pain
	loop	0
	offset	55 100
	bbox	32 15 32 77
	delay	13
	frame	data/chars/jet/pain2.gif
        move    -7
	bbox	43 11 30 79
        frame   data/chars/jet/pain1.gif
        move    7
	bbox	32 15 32 77
   	frame	data/chars/jet/pain2.gif
	
anim fall
	loop	0
	delay	40
	offset	53 90
        attack	20 2 41 57 5 1
	frame	data/chars/jet/fall1.gif
        offset	46 90
	attack	4 57 49 39 5 1
	frame	data/chars/jet/fall2.gif


anim rise
	loop	0
        delay	10
	offset	46 90
	frame	data/chars/jet/rise1.gif
        delay	25
        frame	data/chars/jet/rise2.gif


anim attack3 
        range   120 150
      	loop	0
        delay	5
        offset	56 195
#       	bbox	41 106 29 81
        frame	data/chars/jet/launch1.gif
        frame	data/chars/jet/launch2.gif
        frame	data/chars/jet/launch3.gif
        offset	56 196
       	frame	data/chars/jet/launch4.gif
        frame	data/chars/jet/launch5.gif
        offset	56 228
        frame	data/chars/jet/launch6.gif
        offset	56 195 
        frame	data/chars/jet/launch1.gif
        frame	data/chars/jet/launch2.gif
        frame	data/chars/jet/launch3.gif
        offset	56 196
       	frame	data/chars/jet/launch4.gif
        frame	data/chars/jet/launch5.gif
        offset	56 228
        frame	data/chars/jet/launch6.gif
        offset	56 195
        frame	data/chars/jet/launch1.gif
        frame	data/chars/jet/launch2.gif
        frame	data/chars/jet/launch3.gif
        offset	56 196
       	frame	data/chars/jet/launch4.gif
        frame	data/chars/jet/launch5.gif
        offset	56 228
        frame	data/chars/jet/launch6.gif
        delay	9 
        offset	67 244
        frame 	data/chars/jet/rain1a.gif
        frame	data/chars/jet/rain2a.gif
        offset	67 245
        frame	data/chars/jet/rain3a.gif
        offset	67 196
        frame	data/chars/jet/rain3.gif
        offset	67 195
        frame	data/chars/jet/rain4.gif
        attack  226 135 49 48 20 1
	sound data/sounds/bang.wav
        frame	data/chars/jet/rain5.gif
        offset	67 196
        attack  160 135 115 48 20 1
        frame	data/chars/jet/rain6.gif
        attack  100 135 177 48 20 1
        frame	data/chars/jet/rain7.gif
        offset	67 195
        frame	data/chars/jet/rain8.gif
        attack  100 135 117 48 20 1
       	frame	data/chars/jet/rain9.gif
        offset	67 196
        attack  100 135 58 48 20 1
        frame   data/chars/jet/rain10.gif


anim upper
	loop	0
	delay	20
	offset	33 89
       #bbox	13 25 40 62
        attack	10 5 52 67 10 1
        frame	data/chars/jet/spin1.gif
        delay	6
        frame	data/chars/jet/spin2.gif
        attack	4 5 52 67 10 1
        frame	data/chars/jet/spin3.gif
        frame	data/chars/jet/spin4.gif
        attack	10 5 52 67 10 1
        frame	data/chars/jet/spin1.gif
        frame	data/chars/jet/spin2.gif
        attack	4 5 52 67 10 1
        frame	data/chars/jet/spin3.gif
        frame	data/chars/jet/spin4.gif


	
      #  offset	33 74
      #  bbox	13 10 40 62
      #  attack	37 6 20 67 10 1
      #  frame	data/chars/jet/roll4.gif

anim jumpattack  
       range	90 200
	loop	0
	delay	6
      # standard bbox
      # offset	55 100
      # bbox	41 10 32 90
	offset  55 120
#	bbox	41 -10 32 90
	frame	data/chars/jet/walk1.gif
        offset  55 140
#	bbox	41 -30 32 90
