##ATTRIBUTES

#SKILLS		*
#LIFE		***
#POWER		****
#SPEED		**
#JUMP		*
#SPECIAL	*

##MAIN
name				Mrx1
type				enemy
hostile				player
candamage			player obstacle
projectilehit		player enemy obstacle

##LIFE
health				1 #SCRIPT

##POWER
offense 			all 2.5 #1/1.5/2/2.5/3/3.5

##SPEED
speed				10 #8/10/12/14/16/18
running 			20 2.7 1.2 1 0 #R 16/20/24/28/32/36

##JUMP
jumpspeed			15 #13/15/17/19/21/23
jumpheight 			2.9 #2.9/3.1/3.3/3.5/3.7/3.9

##SPECIAL
mp					20
mprate  			0 #4/5/6/7/8/9

##GRAB
grabdistance 		33 #BASE 36
grabfinish 			1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity			-6 #-3/-6/-9
height				90

##MISC
jugglepoints		30
risetime			170
riseinv				0.4 1 #HEROES 0.2 - ENEMY 0.1 - BOSS 0.4
makeinv				2 0
atchain				1
weapons				none none none none
gfxshadow			1 1
dust				dust
aimove				chasex #ENEMY ONLY
escapehits			1 #ENEMY ONLY
death				2

##SCRIPTS
animationscript	 	data/scripts/script.c
onblockpscript		data/scripts/onblockp/platform.c
onblockwscript		data/scripts/onblockw/wall.c
onspawnscript		data/scripts/onspawn/mrx.c
onmovexscript		data/scripts/onmove/mrx.c
onmovezscript		data/scripts/onmove/mrx.c
onfallscript		data/scripts/onfall/koCount.c
script				data/scripts/updateentity/mrx.c

##ICONS
icon				data/chars/mrx/icon.gif 1

##DIESOUND
diesound			data/voices/enemy/BossDie1.wav

##REMAPS
remap				data/chars/mrx/laugh00.gif data/chars/mrx/alter1.gif
remap				data/chars/mrx/laugh00.gif data/chars/mrx/alter2.gif
remap				data/chars/mrx/laugh00.gif data/chars/mrx/alter3.gif

##LOADS
load				mrx_shot1
load				mrx_shot2
load				mrx_shot3
load				mrx_bullet
load				basicx2

##ANIMATIONS#############################################################################

anim spawn
	loop	0
	delay	1
	offset	150 200
	frame	data/chars/mrx/laugh00.gif

anim idle
	loop	1
	delay	16
	offset	150 200
	bbox 	127 113 24 89
	@cmd clearL
	frame	data/chars/mrx/idle00.gif
	frame	data/chars/mrx/idle00.gif
	
anim walk
	loop	1
	delay	8
	offset	150 200
	bbox 	127 113 24 89
	frame	data/chars/mrx/walk00.gif
	frame	data/chars/mrx/walk01.gif
	frame	data/chars/mrx/walk02.gif
	frame	data/chars/mrx/walk03.gif
	frame	data/chars/mrx/walk04.gif
	frame	data/chars/mrx/walk05.gif
	frame	data/chars/mrx/walk04.gif
	frame	data/chars/mrx/walk03.gif
	frame	data/chars/mrx/walk02.gif
	frame	data/chars/mrx/walk01.gif
	
anim get
	loop	0
	delay	16
	offset	150 200
	frame	data/chars/mrx/get00.gif

anim grabbed
	loop	0
	delay	8
	offset	150 200
	bbox 	127 132 24 70
	frame	data/chars/mrx/grabbed00.gif
	
anim jumpdelay
	loop	0
	delay	12
	offset	150 200
	bbox 	127 138 30 64
	frame	data/chars/mrx/jumpdelay00.gif

anim walkoff
	loop	0
	delay	12
	offset	150 200
	bbox 	134 119 29 85
	@cmd jump 1
	frame	data/chars/mrx/jump00.gif
	
anim jumpland
	loop	0
	delay	12
	offset	150 200
	bbox 	127 138 30 64
	sound	data/sounds/kof/Jumpland.wav
	frame	data/chars/mrx/jumpland00.gif

anim pain #UP
	loop	0
	delay	4
	offset	150 200
	bbox 	137 115 22 86
	frame	data/chars/mrx/pain00.gif
	frame	data/chars/mrx/pain01.gif
