##ATTRIBUTES

#SKILLS		***
#LIFE		**
#POWER		**
#SPEED		***
#JUMP		***
#SPECIAL	**

##MAIN
name				Ninja0
type				enemy
hostile				player
candamage			player obstacle
projectilehit		player enemy obstacle

##LIFE
health				1 #SCRIPT

##POWER
offense 			all 1.5 #1/1.5/2/2.5/3/3.5

##SPEED
speed				1 #SCRIPT

##JUMP
jumpspeed			17 #13/15/17/19/21/23
jumpheight 			3.3 #2.9/3.1/3.3/3.5/3.7/3.9

##SPECIAL
mp					120
mprate  			5 #4/5/6/7/8/9

##GRAB
grabdistance 		33 #36/33/30
grabfinish 			1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity			-3 #-3/-6/-9
height				72

##MISC
jugglepoints		30
risetime			170
riseinv				0.1 1 #HEROES 0.2 - ENEMY 0.1 - BOSS 0.4
makeinv				2 0
atchain				1 2
weapons				none ninja_sword none ninja_kunai
gfxshadow			1 1
dust				dust
aimove				chase #ENEMY ONLY
escapehits			99 #ENEMY ONLY
blockodds 			1
nopassiveblock		1

##SCRIPTS
animationscript	 	data/scripts/script.c
onblockpscript		data/scripts/onblockp/platform.c
onblockwscript		data/scripts/onblockw/wall.c
onspawnscript		data/scripts/onspawn/ninja.c
onfallscript		data/scripts/onfall/koCount.c
onmodelcopyscript	data/scripts/onmodelcopy/modelcopy.c

##ICONS
icon				data/chars/ninja/icon.gif 1

##DIESOUND
diesound			data/voices/enemy/Die1.wav

##REMAPS
remap				data/chars/ninja/idle00.gif data/chars/ninja/alter1.gif
remap				data/chars/ninja/idle00.gif data/chars/ninja/alter2.gif
remap				data/chars/ninja/idle00.gif data/chars/ninja/alter3.gif
remap				data/chars/ninja/idle00.gif data/chars/ninja/alter4.gif
remap				data/chars/ninja/idle00.gif data/chars/ninja/alter5.gif

##LOADS
load				ninja_evade
load				ninja_kunai
load				ninja_sword

##ANIMATIONS#############################################################################

anim spawn
	loop	0
	delay	1
	offset	145 181
	frame	data/chars/ninja/idle00.gif

anim idle
	loop	1
	delay	16
	offset	145 181
	bbox 	131 111 27 72
	@cmd clearL
	frame	data/chars/ninja/idle00.gif
	frame	data/chars/ninja/idle01.gif
	frame	data/chars/ninja/idle02.gif
	frame	data/chars/ninja/idle03.gif

anim walk
	loop	1
	delay	18
	offset	145 181
	bbox 	131 111 27 72
	frame	data/chars/ninja/walk00.gif
	frame	data/chars/ninja/walk01.gif
	frame	data/chars/ninja/walk02.gif
	frame	data/chars/ninja/walk03.gif

anim get
	loop	0
	delay	16
	offset	145 181
	frame	data/chars/ninja/get00.gif
	
anim grab
	loop	0
	delay	8
	offset	145 181
	bbox 	134 116 24 67
	frame	data/chars/ninja/grab00.gif

anim grabbed
	loop	0
	delay	8
	offset	145 181
	bbox 	131 111 31 72
	frame	data/chars/ninja/grabbed00.gif
	
anim jumpdelay
	loop	0
	delay	12
	offset	145 181
	bbox 	132 134 32 49
	frame	data/chars/ninja/jumpdelay00.gif

anim jump
	loop	1 1 5
	delay	6
	offset	145 181
	bbox 	128 151 33 32
	@cmd jump 1
	frame	data/chars/ninja/jump00.gif
	frame	data/chars/ninja/jump00.gif
	frame	data/chars/ninja/jump01.gif
	frame	data/chars/ninja/jump02.gif
	frame	data/chars/ninja/jump03.gif
	
anim walkoff
	loop	1 1 5
	delay	6
	offset	145 181
	bbox 	128 151 33 32
	@cmd jump 1
	frame	data/chars/ninja/jump00.gif
	frame	data/chars/ninja/jump00.gif
