##ATTRIBUTES

#SKILLS		*
#LIFE		*
#POWER		*
#SPEED		*
#JUMP		*
#SPECIAL	*

##MAIN
name				rolento
type				enemy
hostile				player
candamage			player obstacle
projectilehit		player enemy obstacle

##LIFE
health				700 #SCRIPT

##POWER
offense 			all 1 #1/1.5/2/2.5/3/3.5

##SPEED
speed				16 #SCRIPT

##JUMP
jumpspeed			13 #13/15/17/19/21/23
jumpheight 			2.9 #2.9/3.1/3.3/3.5/3.7/3.9

##WEIGHT/HEIGHT
antigravity			-6 #-3/-6/-9
height				75

##MISC
jugglepoints		30
risetime			170
riseinv				0.1 1 #HEROES 0.2 - ENEMY 0.1 - BOSS 0.4
makeinv				2 0
atchain				1 1 2
#weapons				none none rolento_pipe none
gfxshadow			1 1
dust				dust
#aimove				avoid #ENEMY ONLY
escapehits			99 #ENEMY ONLY

##SCRIPTS
animationscript	 	data/scripts/script.c
onblockpscript		data/scripts/onblockp/platform.c
onblockwscript		data/scripts/onblockw/wall.c
onspawnscript		data/scripts/onspawn/abadede.c
onfallscript		data/scripts/onfall/koCount.c
onmodelcopyscript	data/scripts/onmodelcopy/modelcopy.c

##ICONS
icon				data/chars/rolento/icon.gif 1

##DIESOUND
diesound			data/voices/enemy/Die1.wav

##REMAPS

##LOADS
load rgran
load rgran2

##ANIMATIONS#############################################################################

anim	attack1
	range	20 60
        hitfx	data/sounds/beat1.wav
	loop	0
	offset	238 177
	bbox	230 106 30 72
	delay	4
	drawmethod  245  245  0  0  0  -1  -1
	frame	data/chars/rolento/a101.gif
	delay	8
	attack	240 	126 	96 	20 	15 	0 	0 	0 	25 15
	frame	data/chars/rolento/a102.gif
	attack	0 	0 	0 	0 	0 	0 	0 	0 	0
	delay	4
	frame	data/chars/rolento/a101.gif
	delay	15
	frame	data/chars/rolento/idle01.gif
	hitfx	data/sounds/beat2.wav
	loop	0
	offset	238 177
	bbox	230 106 30 72
	delay	4
	drawmethod  245  245  0  0  0  -1  -1
	frame	data/chars/rolento/a101.gif
	delay	8
	attack	240 	126	96 	20 	20 	1 	0 	0 	35 15
	frame	data/chars/rolento/a102.gif
	attack	0 	0 	0 	0 	0 	0 	0 	0 	0
	delay	4
	frame	data/chars/rolento/a101.gif
	delay	25
	frame	data/chars/rolento/idle01.gif
	hitfx	data/sounds/beat2.wav

anim	attack2
	range	20 60
loop	0
	offset	238 177
	bbox	230 120 30 57
	delay	15
	frame	data/chars/rolento/expl219.gif
	bbox	230 115 30 40
	sound	data/sounds/jump.wav
	delay	5
	drawmethod  245  245  0  0  0  -1  -1
	frame	data/chars/rolento/a201.gif
	frame	data/chars/rolento/a202.gif
	frame	data/chars/rolento/a203.gif
	frame	data/chars/rolento/a204.gif
	frame	data/chars/rolento/a201.gif
	frame	data/chars/rolento/a202.gif
	delay	999
	attack	240 147 55 30 25 1 0 0 35 15
	frame	data/chars/rolento/a205.gif
	delay	15
	attack	0 	0 	0 	0 	0 	0 	0 	0 	0
	frame	data/chars/rolento/land01.gif
	delay	25
	frame	data/chars/rolento/idle01.gif
	hitfx	data/sounds/beat2.wav

anim	attack3
	jumpframe	1 3.4 1
	landframe	8
	range	25 75
loop	0
	offset	238 177
	bbox	230 125 35 52
	drawmethod  245  245  0  0  0  -1  -1
	frame	data/chars/rolento/expl219.gif
	sound	data/sounds/jump.wav
	delay	5
	frame	data/chars/rolento/a201.gif
	frame	data/chars/rolento/a202.gif
@cmd	toss "rgran2" 4 15 0
	frame	data/chars/rolento/a203.gif
