##ATTRIBUTES

#SKILLS		*
#LIFE		****
#POWER		*****
#SPEED		****
#JUMP		**
#SPECIAL	****

##MAIN
name				Wolf1
type				enemy
hostile				player
candamage			player obstacle
projectilehit		        player enemy obstacle
FallDie                         1

##LIFE
health				450 #SCRIPT

##POWER
offense 			all 3 #1/1.5/2/2.5/3/3.5

##SPEED
speed				18 #8/10/12/14/16/18
running 			28 2.9 1.2 1 0 #R 16/20/24/28/32/36

##JUMP
jumpspeed			15 #13/15/17/19/21/23
jumpheight 			3.1 #2.9/3.1/3.3/3.5/3.7/3.9

##SPECIAL
mp					120
mprate  			7 #4/5/6/7/8/9

##GRAB
grabdistance 		39 #36/33/30
grabfinish 			1 #PLAYER=0/ENEMY=1

##WEIGHT/HEIGHT
antigravity			-9 #-3/-6/-9
height				92

##MISC
jugglepoints		30
risetime			170
riseinv				0.4 1 #HEROES 0.2 - ENEMY 0.1 - BOSS 0.4
makeinv				2 0
atchain				1 2
weapons				none none none none
gfxshadow			1 1
blockodds 			1
bflash				block
dust				dust
#aimove				chase #ENEMY ONLY
escapehits			1 #ENEMY ONLY

##SCRIPTS
didhitscript		data/scripts/didhit/Abadede.c
animationscript	 	data/scripts/script.c
onblockpscript		data/scripts/onblockp/platform.c
onblockwscript		data/scripts/onblockw/wall.c
onspawnscript		data/scripts/onspawn/Abadede.c
onfallscript		data/scripts/onfall/koCount.c
script			data/scripts/updateentity/Wolf.c

##ICONS
icon				data/chars/Wolf/icon.gif 1

##DIESOUND
diesound			data/chars/Wolf/Death.wav

##REMAPS
remap				data/chars/Wolf/idle00.gif data/chars/Wolf/alter1.gif
remap				data/chars/Wolf/idle00.gif data/chars/Wolf/alter2.gif
remap				data/chars/Wolf/idle00.gif data/chars/Wolf/alter3.gif

##LOADS
load				WolfS

##ANIMATIONS#############################################################################

anim spawn #WAIT SPAWN
	loop	0
	delay	40
	offset	152 199
	@cmd anichange "ANI_FOLLOW1"
	frame	data/chars/Wolf/wait01.gif



anim follow1 #WAIT LOOP
	loop	1
	delay	16
	offset	152 199
	@cmd cancel 0 250 0 400 -999 999 "ANI_FOLLOW2"
	frame	data/chars/Wolf/wait01.gif

anim follow2 #LOOP STOP
	loop	0
	delay	16
	offset	152 199
        sound     data/chars/Wolf/spw.wav
	frame	data/chars/Wolf/wait01.gif
	frame	data/chars/Wolf/wait02.gif
	frame	data/chars/Wolf/wait03.gif
	frame	data/chars/Wolf/wait04.gif
	frame	data/chars/Wolf/wait05.gif
	frame	data/chars/Wolf/idle00.gif

anim idle
	loop	1
	delay	16
	offset	152 199
	bbox 	135 111 32 90
	@cmd clearL
	frame	data/chars/Wolf/idle00.gif
	frame	data/chars/Wolf/idle01.gif
	frame	data/chars/Wolf/idle02.gif
	frame	data/chars/Wolf/idle03.gif

anim walk
	loop	1
	delay	8
	offset	152 199
	bbox 	140 111 29 90
	frame	data/chars/Wolf/walk00.gif
	frame	data/chars/Wolf/walk01.gif
	frame	data/chars/Wolf/walk02.gif
	frame	data/chars/Wolf/walk03.gif
	frame	data/chars/Wolf/walk04.gif
	frame	data/chars/Wolf/walk05.gif
	frame	data/chars/Wolf/walk06.gif
	frame	data/chars/Wolf/walk07.gif

anim run
	loop	1
	delay	8
	offset	152 199
	bbox 	135 115 30 86
	frame	data/chars/Wolf/walk00.gif
	frame	data/chars/Wolf/walk01.gif
	frame	data/chars/Wolf/walk02.gif
	frame	data/chars/Wolf/walk03.gif
