background	data/bgs/st1/back02.gif		1 1 0 0 0 0 1 1 1 6
panel		data/bgs/st1/pn02.gif		none	none
order		a
settime		99
direction	both
scrollspeed 0.5
stagenumber 1
spawn1		60 20 300
spawn2		90 40 300
spawn3		120 20 300
spawn4		150 40 300

#########################################################################################

light		128 -128
at			0

shadowcolor -2
at			0

shadowalpha 6
at			0

#########################################################################################

wall		0 260 -500 -500 230 0 100 1000

wall		280 260 0 291 791 791 100 1000

#########################################################################################

spawn		St1_Rain
flip		1
coords		1 200
at			0

spawn		St1_Drop1
flip		1
coords		100 260
at			0

spawn		St1_Drop1
flip		1
coords		140 240
at			0

spawn		St1_Drop1
flip		1
coords		180 250
at			0

spawn		St1_Drop1
flip		1
coords		220 240
at			0

spawn		St1_Drop1
flip		1
coords		260 260
at			0

spawn		St1_Drop1
flip		1
coords		300 250
at			0

spawn		St1_Drop1
flip		1
coords		340 260
at			0

spawn		St1_Drop1
flip		1
coords		400 240
at			0

spawn		Barbon0
flip		0
boss		1
coords		400 230 0
at			0

spawnscript data/scripts/spawnlevel/music_boss.c
at			2

#########################################################################################

group		2 2
at			4

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
flip		1
coords		550 300 0
at			0

spawn		BasicX0
2pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
3pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
4pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
2pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
3pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
4pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
2pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
3pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
4pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
2pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
3pspawn
flip		1
coords		550 300 0
at			0

spawn		BasicX0
4pspawn
flip		1
coords		550 300 0
at			0
