background	data/bgs/st7/back00.gif		1 1 0 0 0 0 -1 1 0 0
bglayer		data/bgs/st7/bg00.gif		0.6 1 0 0 0 0 -1 1 1 0  0 0 0 0 0
bglayer		data/bgs/st7/bg01.gif		0.4 1 0 0 0 0 -1 1 1 0  0 0 0 0 1.5
bglayer		data/bgs/st7/bg02.gif		0.2 1 0 0 0 0 -1 1 1 0  0 0 0 0 3
panel		data/bgs/st7/pn00.gif		none	none
order		a
music		data/music/st7a.ogg
settime		99
bgspeed		1 0
scrollspeed 0.5
stagenumber 7
spawn1		60 20 300
spawn2		90 40 300
spawn3		120 20 300
spawn4		150 40 300

#########################################################################################

light		128 -128
at			0

shadowalpha 2
at			0

#########################################################################################

spawn		St7_Machine1
flip		1
coords		219 244 0
at			0

spawn		St7_Machine1
flip		1
coords		945 244 0
at			0

spawn		St7_Machine1
flip		1
coords		1425 244 0
at			0

spawn		St7_Machine1
flip		1
coords		1203 276 0
at			0

spawn		St7_Machine1
flip		1
coords		1555 276 0
at			0

spawn		St7_Machine2
flip		1
coords		1859 276 0
at			0

spawn		St7_Machine2
flip		1
coords		2147 276 0
at			0

#########################################################################################

spawn		Drum
flip		1
coords		600 216 0
at			0

spawn		Drum
flip		1
coords		700 216 0
at			0

group		1000 1000
at			1

spawn		BasicX4
flip		1
coords		600 250 0
at			1

spawn		BasicX3
flip		1
coords		-100 250 0
at			1

spawn		BasicX4
flip		1
coords		700 250 0
at			1

spawn		BasicX3
flip		1
coords		-200 250 0
at			1

spawn		BasicX4
flip		1
coords		600 250 0
at			100

spawn		BasicX3
flip		1
coords		-100 250 0
at			100

spawn		BasicX4
flip		1
coords		600 250 0
at			150

spawn		BasicX3
flip		1
coords		-100 250 0
at			150

spawn		BasicX4
flip		1
coords		600 250 0
at			200

spawn		BasicX3
flip		1
coords		-100 250 0
at			200

spawn		BigBen4
flip		0
coords		350 250 300
at			250

spawn		BigBen3
flip		1
coords		450 250 300
at			250

wait
at			300

#########################################################################################

spawn		Drum
flip		1
coords		700 270 0
at			301

spawn		Drum
flip		1
coords		750 270 0
at			301

spawn		Drum
flip		1
coords		1050 216 0
at			301

spawn		Biker_Wait3
flip		0
coords		600 200 0
at			301

spawn		Biker_Bomb
flip		1
coords		800 216 0
at			301

spawn		Biker_Bomb
flip		1
coords		900 216 0
at			301

group		1000 1000
at			350

spawn		BasicX4
flip		1
coords		600 230 0
at			350

spawn		BasicX3
flip		1
coords		600 230 0
at			400

spawn		BasicX4
flip		1
coords		600 230 0
at			450

spawn		BasicX3
flip		1
coords		600 230 0
at			400

spawn		BasicX4
flip		1
coords		-100 230 0
at			550

spawn		BasicX3
flip		1
coords		-100 230 0
at			600

spawn		BasicX4
flip		1
coords		600 230 0
at			650

spawn		BasicX3
flip		1
coords		600 230 0
at			700

spawn		BasicX4
flip		1
coords		-100 230 0
at			750

spawn		BasicX3
flip		1
coords		-100 230 0
at			800

spawn		BasicX4
flip		1
coords		600 230 0
at			850

wait
at			1000

#########################################################################################

spawn		Drum
flip		1
coords		725 216 0
at			1100

spawn		Ninja_Wait4
flip		0
coords		745 260 0
at			1100

spawn		Electra3
flip		0
coords		350 230 300
at			1400

spawn		Drum
flip		1
coords		650 216 2
at			1450

spawn		Drum
flip		1
coords		700 216 2
at			1700

spawn		Electra4
flip		0
coords		400 240 300
at			1900

spawn		Electra3
2pspawn
flip		1
coords		-100 240 0
at			1900

spawn		Electra4
3pspawn
flip		0
coords		400 270 300
at			1900

spawn		Electra3
4pspawn
flip		1
coords		-100 270 0
at			1900

spawn		Ninja4
flip		0
coords		100 220 300
at			1900

spawn		Ninja3
2pspawn
flip		1
coords		100 270 300
at			1900

spawn		Ninja4
3pspawn
flip		0
coords		600 270 0
at			1900

spawn		Ninja3
4pspawn
flip		1
coords		-100 270 0
at			1900
